last_name,first_name,middle_init,agency
Condes,Elena,None,Alameda County Superior Court
Conklin,Jonathan,B,Fresno County Superior Court
Connolly,Pat,E,Los Angeles County Superior Court
Connolly,Rebecca,None,Santa Cruz County Superior Court
Conroy,Brendan,P,San Francisco County Superior Court
Convey,Michael,J,Los Angeles County Superior Court
Cookson,Patricia,K,San Diego County Superior Court
Cooley,Shannon,Kathleen,Los Angeles County Superior Court
Cooper,Andrew,E,Los Angeles County Superior Court
Cooper,Scott,B,Orange County Superior Court
Cope,John,C,Contra Costa County Superior Court
Cope,Mark,None,Riverside County Superior Court
Cops,Jennifer,H.,Los Angeles County Superior Court
Corona,Adolfo,M,Fresno County Superior Court
Corrigan,Carol,A,Supreme Court of California
Cortes,Sonia,None,Yolo County Superior Court
Cortez,Annabelle,G,Los Angeles County Superior Court
Cortez,Rodney,A,San Bernardino County Superior Court
Cotton,Huey,P,Los Angeles County Superior Court
Coughlan,Michael,D,San Joaquin County Superior Court
Counelis,Steven,G,Riverside County Superior Court
Court,Michelle,W,Los Angeles County Superior Court
Covello,Timothy,S,San Luis Obispo County Superior Court
Cowan,David,J,Los Angeles County Superior Court
Cramer,James,P,Alameda County Superior Court
Cramin,Corey,None,Orange County Superior Court
Crandell,Sean,Paul,Riverside County Superior Court
Crompton,Charles,S,San Francisco County Superior Court
Crowfoot,William,A.,Los Angeles County Superior Court
Crowley,Daniel,M.,Los Angeles County Superior Court
Cullers,Mark,E,Fresno County Superior Court
Culver,Julie,R,Monterey County Superior Court
Cumba,Mark,None,San Diego County Superior Court
Cunningham III,David,S,Los Angeles County Superior Court
Currey,Brian,S,"Court of Appeal, Second District"
Currier,Donald,J,Sacramento County Superior Court
Czuleger,John,Stephen,Los Angeles County Superior Court
Dabel,Sean,P,San Mateo County Superior Court
Dahlquist,Robert,P,San Diego County Superior Court
Dalesandro,Samuel,J,Fresno County Superior Court
Damrell,Lauri,A.,Sacramento County Superior Court
Dandona,Jean,M,Santa Barbara County Superior Court
Danner,Allison,M,"Court of Appeal, Sixth District"
Dansby,Pamela,None,Los Angeles County Superior Court
Darwin,Richard,C,San Francisco County Superior Court
Dato,William,S,"Court of Appeal, Fourth District"
Dauber,Michael,None,San Bernardino County Superior Court
