Aaron,Cynthia,G,"Court of Appeal, Fourth District"
Kuhnle,Thomas,E,Santa Clara County Superior Court
Kulkarni,Sunil,R,Santa Clara County Superior Court
Kumar,Sanjay,T,Los Angeles County Superior Court
Kumar,Sanjay,T,Los Angeles County Superior Court
Kuns,Kay,Susanne,Santa Barbara County Superior Court
Kwan,Ruth,A,Los Angeles County Superior Court
La Barbera,Barry,T,San Luis Obispo County Superior Court
La Porte,James,None,Kings County Superior Court
La Salle,Kimberly,Boucher,Orange County Superior Court
Laesecke,Laura,None,Los Angeles County Superior Court
Laesecke,Laura,None,Los Angeles County Superior Court
Laettner,John,T,Contra Costa County Superior Court
Lafferty,Sean,P,Riverside County Superior Court
Lafferty,Sean,P,Riverside County Superior Court
LaForge,Robert,M,Sonoma County Superior Court
LaForteza,Bernie,C,Los Angeles County Superior Court
Lager,Marvin,M,Los Angeles County Superior Court
Lagotta,Kimberlee,A,San Diego County Superior Court
Lam,Newton,None,San Francisco County Superior Court
Lamb,Brian,J,Inyo County Superior Court
Lamborn,Daniel,G,San Diego County Superior Court
Lamborn,Daniel,G,San Diego County Superior Court
Lampe,David,R,Kern County Superior Court
Landau,Leslie,G,Contra Costa County Superior Court
Landin,Dennis,J,Los Angeles County Superior Court
Langhorne,Monique,S,Napa County Superior Court
Langhorne,Monique,S,Napa County Superior Court
Lapham,Robert,S,Sacramento County Superior Court
Lapham,Robert,S,Sacramento County Superior Court
Larsh,Erick,None,Orange County Superior Court
Lasater,Melinda,J,San Diego County Superior Court
Lasater,Melinda,J,San Diego County Superior Court
Lashley-Haynes,Elizabeth,M.,Los Angeles County Superior Court
Latting,James,T,Riverside County Superior Court
Lau,Stephen,None,Sacramento County Superior Court
Lavayen,Gustavo,E,Santa Barbara County Superior Court
Lavin,Luis,A,"Court of Appeal, Second District"
Lavorato,Sam,None,Monterey County Superior Court
Lawrence,John,None,Siskiyou County Superior Court
Lawson,Christopher,Michael,San Diego County Superior Court
Lawson II,John,C,Los Angeles County Superior Court
Lawson II,John,C,Los Angeles County Superior Court
Langhorne,Monique,S,Napa County Superior Court
Lapham,Robert,S,Sacramento County Superior Court
Lapham,Robert,S,Sacramento County Superior Court
Larsh,Erick,None,Orange County Superior Court
Lasater,Melinda,J,San Diego County Superior Court
Lasater,Melinda,J,San Diego County Superior Court
Lashley-Haynes,Elizabeth,M.,Los Angeles County Superior Court
Latting,James,T,Riverside County Superior Court
Lau,Stephen,None,Sacramento County Superior Court
Lavayen,Gustavo,E,Santa Barbara County Superior Court
Leal,Sandy,N,Orange County Superior Court
Leal,Sandy,N,Orange County Superior Court
Lee,Amarra,A.,San Mateo County Superior Court
Lee,Amarra,A.,San Mateo County Superior Court
Lee,Charles,J,Fresno County Superior Court
Lee,Corey,G,San Bernardino County Superior Court
Lee,Cynthia,None,San Francisco County Superior Court
Lee,Edward,F,Santa Clara County Superior Court
Lee,Edward,F,Santa Clara County Superior Court
Lee,Elizabeth,K,San Mateo County Superior Court
Lee,Eumi,K.,Alameda County Superior Court
Lee,Jayne,None,San Joaquin County Superior Court
Lee,Jayne,None,San Joaquin County Superior Court
Lee,Jennifer,None,Contra Costa County Superior Court
Lee,Jennifer,None,Contra Costa County Superior Court
Lee,Jo-Lynne,Q,Alameda County Superior Court
Lee,Richard,Y,Orange County Superior Court
Leedy,Nathan,G,Tulare County Superior Court
Lehman,William,D,Imperial County Superior Court
Leininger,Cheryl,None,Orange County Superior Court
Leis,Colin,P,Los Angeles County Superior Court
Leiter,Maurice,A,Los Angeles County Superior Court
LemMon,John,None,Sonoma County Superior Court
LeMon,Leanne,L,Fresno County Superior Court
Lench,Lisa,B,Los Angeles County Superior Court
Leo,Nancy,A,Stanislaus County Superior Court
Leo,Nancy,A,Stanislaus County Superior Court
Lepe-Negrete,Monica,None,Imperial County Superior Court
Levanas,Michael,I,Los Angeles County Superior Court
Leversen,Michael,None,Orange County Superior Court
Leversen,Michael,None,Orange County Superior Court
Levine,Michele,D,Riverside County Superior Court
Levy,Herbert,I,"Court of Appeal, Fifth District"
Lewis,Alyson,L,Sacramento County Superior Court
Lewis,Alyson,L,Sacramento County Superior Court
Lewis,Anthony,B,Los Angeles County Superior Court
Lewis,Gregory,None,Orange County Superior Court
Lewis,Jacqueline,H,Los Angeles County Superior Court
Lewis,Jacqueline,H,Los Angeles County Superior Court
Lewis,Joan,M,San Diego County Superior Court
Lewis,Joan,M,San Diego County Superior Court
Lewis,Jon,L,San Diego County Superior Court
Lewis,Katherine,E,Orange County Superior Court
Lewis,Katherine,E,Orange County Superior Court
Lewis,Kathleen,M,San Diego County Superior Court
Lewis,Kathleen,M,San Diego County Superior Court
Lewis,Michael,B,Kern County Superior Court
Lewis,Terrance,T,Los Angeles County Superior Court
Lewis,Terrance,T,Los Angeles County Superior Court
Lewis,Thomas,T,Los Angeles County Superior Court
Leversen,Michael,None,Orange County Superior Court
Levine,Michele,D,Riverside County Superior Court
Levy,Herbert,I,"Court of Appeal, Fifth District"
Lewis,Alyson,L,Sacramento County Superior Court
Lewis,Alyson,L,Sacramento County Superior Court
Lewis,Anthony,B,Los Angeles County Superior Court
Lewis,Gregory,None,Orange County Superior Court
Lewis,Jacqueline,H,Los Angeles County Superior Court
Lewis,Jacqueline,H,Los Angeles County Superior Court
Lewis,Joan,M,San Diego County Superior Court
Libutti,Michael,None,San Bernardino County Superior Court
Libutti,Michael,None,San Bernardino County Superior Court
LiCalsi,Ernest,J,Madera County Superior Court
LiCalsi,Ernest,J,Madera County Superior Court
Lichtblau,Sheila,None,Marin County Superior Court
Lie,Cynthia,C,Santa Clara County Superior Court
Lie,Cynthia,C,"Court of Appeal, Sixth District"
Liebmann,William,Q,Ventura County Superior Court
Lief,Michael,S,Ventura County Superior Court
Lief,Michael,S,Ventura County Superior Court
Lin,Rita,None,San Francisco County Superior Court
Lindquist,Kristina,B.,Sacramento County Superior Court
Lindquist,Kristina,B.,Sacramento County Superior Court
Linfield,Michael,P,Los Angeles County Superior Court
Linfield,Michael,P,Los Angeles County Superior Court
Link,Daniel,F,San Diego County Superior Court
Link,Daniel,F,San Diego County Superior Court
Link,Frederick,L,San Diego County Superior Court
Link,Frederick,L,San Diego County Superior Court
Linville,Thomas,J.,Siskiyou County Superior Court
Lipner,Joseph,M,Los Angeles County Superior Court
Lipner,Joseph,M,Los Angeles County Superior Court
Lippitt,Elizabeth,None,Los Angeles County Superior Court
Liso,Jason,Michael,San Bernardino County Superior Court
Liu,Andrew,G,Monterey County Superior Court
Liu,Goodwin,H,Supreme Court of California
Livermore,Richard,C,San Mateo County Superior Court
Lin,Rita,None,San Francisco County Superior Court
Lindquist,Kristina,B.,Sacramento County Superior Court
Lindquist,Kristina,B.,Sacramento County Superior Court
Linfield,Michael,P,Los Angeles County Superior Court
Linfield,Michael,P,Los Angeles County Superior Court
Link,Daniel,F,San Diego County Superior Court
Link,Daniel,F,San Diego County Superior Court
Link,Frederick,L,San Diego County Superior Court
Link,Frederick,L,San Diego County Superior Court
Linville,Thomas,J.,Siskiyou County Superior Court
Llamas Jr.,Pelayo,Antonio,Alameda County Superior Court
Lo,Paul,C,Merced County Superior Court
Lo,Thomas,None,Orange County Superior Court
Lobre,Deborah,Denise,Sacramento County Superior Court
Lobre,Deborah,Denise,Sacramento County Superior Court
Lofthus,Linda,L,San Joaquin County Superior Court
Lofthus,Linda,L,San Joaquin County Superior Court
Lofton,Joel,L,Los Angeles County Superior Court
Lofton,Joel,L,Los Angeles County Superior Court
Lofton,Lauren,None,Los Angeles County Superior Court
London,Brett,None,Orange County Superior Court
Lonergan,John,J,Los Angeles County Superior Court
Lonergan,John,J,Los Angeles County Superior Court
Long,Thomas,D,Los Angeles County Superior Court
Long,Thomas,D,Los Angeles County Superior Court
Longoria,Roberto,None,Los Angeles County Superior Court
Longoria,Roberto,None,Los Angeles County Superior Court
Longstreth,Robert,C,San Diego County Superior Court
Longstreth,Robert,C,San Diego County Superior Court
Loomis,Lloyd,C,Los Angeles County Superior Court
Lopez,Adelaida,None,San Diego County Superior Court
Lopez,David,None,San Bernardino County Superior Court
Lopez,Gilbert,M,Los Angeles County Superior Court
Lopez-Giss,Susan,L,Los Angeles County Superior Court
Lopez-Giss,Susan,L,Los Angeles County Superior Court
Lor,Pahoua,C,Fresno County Superior Court
Lord,John,D,Los Angeles County Superior Court
Lord,John,D,Los Angeles County Superior Court
Losnick,Debra,None,Los Angeles County Superior Court
Losnick,Debra,None,Los Angeles County Superior Court
Lott,Willie,None,Alameda County Superior Court
Lough,Natalie,M.,Riverside County Superior Court
Lough,Natalie,M.,Riverside County Superior Court
Louie,Chad,A,Kern County Superior Court
Louie,Chad,A,Kern County Superior Court
Lowenthal,Daniel,J,Los Angeles County Superior Court
Lowenthal,Daniel,J,Los Angeles County Superior Court
Loza,Hugo,None,Tulare County Superior Court
Lopez,David,None,San Bernardino County Superior Court
Lopez,Gilbert,M,Los Angeles County Superior Court
Lopez-Giss,Susan,L,Los Angeles County Superior Court
Lopez-Giss,Susan,L,Los Angeles County Superior Court
Lor,Pahoua,C,Fresno County Superior Court
Lord,John,D,Los Angeles County Superior Court
Lord,John,D,Los Angeles County Superior Court
Losnick,Debra,None,Los Angeles County Superior Court
Losnick,Debra,None,Los Angeles County Superior Court
Lott,Willie,None,Alameda County Superior Court
Lu,Elaine,None,Los Angeles County Superior Court
Lua,John,W,Kern County Superior Court
Lucaccini,Anthony,None,San Joaquin County Superior Court
Lucaccini,Anthony,None,San Joaquin County Superior Court
Lucas,Patricia,M,Santa Clara County Superior Court
Lucena,Kristen,A,Butte County Superior Court
Lucero,Katherine,None,Santa Clara County Superior Court
Lucero,Katherine,None,Santa Clara County Superior Court
Lucky IV,Lewis,J,Riverside County Superior Court
Ludvigsen,Cynthia,A,San Bernardino County Superior Court
Luebs,Roger,A,Riverside County Superior Court
Luebs,Roger,A,Riverside County Superior Court
Luege,Carmen,None,Orange County Superior Court
Lueras,Sharon,A,Sacramento County Superior Court
Lueras,Sharon,A,Sacramento County Superior Court
Lugo,Carolina,None,Los Angeles County Superior Court
Lugo,Carolina,None,Los Angeles County Superior Court
Lui,Christopher,K,Los Angeles County Superior Court
Lui,Elwood,G,"Court of Appeal, Second District"
Luna,Ana,M,Los Angeles County Superior Court
Luna,Ana,M,Los Angeles County Superior Court
Luna,Irene,A,Fresno County Superior Court
Lunas,Michael,S,Lake County Superior Court
Lund,Roger,L,Ventura County Superior Court
Lund,Roger,L,Ventura County Superior Court
Luebs,Roger,A,Riverside County Superior Court
Luebs,Roger,A,Riverside County Superior Court
Luege,Carmen,None,Orange County Superior Court
Lueras,Sharon,A,Sacramento County Superior Court
Lueras,Sharon,A,Sacramento County Superior Court
Lugo,Carolina,None,Los Angeles County Superior Court
Lugo,Carolina,None,Los Angeles County Superior Court
Lui,Christopher,K,Los Angeles County Superior Court
Lui,Elwood,G,"Court of Appeal, Second District"
Luna,Ana,M,Los Angeles County Superior Court
Lye,Linda,None,Contra Costa County Superior Court
Lynch,Peter,A.,San Diego County Superior Court
Lyons,Dalila,C,Los Angeles County Superior Court
Lyons,Dalila,C,Los Angeles County Superior Court
Lyons,Melissa,C.,Los Angeles County Superior Court
Lyons,Melissa,C.,Los Angeles County Superior Court
